pcd,pcd2,pcds,dointr,doterm,oscty,oslaua,osward,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,hro,ctry,gor,streg,pcon,eer,teclec,ttwa,pct,nuts,psed,cened,edind,oshaprev,lea,oldha,wardc91,wardo91,ward98,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oldpct,oa11,lsoa11,msoa11,parish,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
"AL7 3LT","AL7  3LT","AL7 3LT","198001","","E10000015","E07000241","E05011066","0","524969","0211993","1","E18000006","E19000001","E92000001","E12000006","5","E14001027","E15000006","E24000005","E30000272","E16000150","E05011066","26ULFL12","KMFL12","1","Q02","919","QEX","27KMFL","26ULFL","26ULGD","26ULGX","E00121654","26ULGX","E99999999","E01023955","E02004986","5","1A3","5GG","E00121654","E01023955","E02004986","E43000083","E33027642","E38000049","E34004821","E35001153","C1","8D2",51.792638,-0.189382,"E37000017","","E23000027",11731
"AL9 7DG","AL9  7DG","AL9 7DG","198301","","E10000015","E07000241","E05011071","0","523158","0205433","1","E18000006","E19000001","E92000001","E12000006","5","E14001027","E15000006","E24000005","E30000272","E16000150","E05011071","26ULFN11","KMFN11","1","Q02","919","QEX","27KMFN","26ULFN","26ULGF","26ULGZ","E00121687","26ULGZ","E99999999","E01023964","E02004993","5","6D1","5GG","E00121687","E01023964","E02004993","E04012223","E33027671","E38000049","E34004803","E35000426","C1","5A2",51.734087,-0.217950,"E37000017","","E23000027",27777
"AL9 7PP","AL9  7PP","AL9 7PP","198001","","E10000015","E07000241","E05011071","0","523357","0205369","1","E18000006","E19000001","E92000001","E12000006","5","E14001027","E15000006","E24000005","E30000272","E16000150","E05011071","26ULFN12","KMFN12","1","Q02","919","QEX","27KMFN","26ULFN","26ULGF","26ULGZ","E00121682","26ULGZ","E99999999","E01023963","E02004993","5","1C1","5GG","E00121682","E01023963","E02004993","E04012223","E33027672","E38000049","E34004803","E35000426","C1","8C1",51.733468,-0.215092,"E37000017","","E23000027",21403
"B1  3SY","B1   3SY","B1 3SY","199507","199806","E99999999","E08000025","E05001193","1","406095","0287384","6","E18000005","E19000001","E92000001","E12000005","7","E14000564","E15000005","E24000041","E30000169","E16000073","E05001193","06CNFS17","CNFS17","1","Q27","330","QD9","07CNFS","06CNFS","00CNFS","00CNHJ","E00046356","00CNFS","E99999999","E01009150","E02001885","5","2A2","5MX","E00175708","E01033623","E02006899","E43000250","E33019944","E38000144","E34005001","E35001166","A1","2B2",52.484344,-1.911677,"E37000012","","E23000014",5997
"B10 9NN","B10  9NN","B10 9NN","198001","","E99999999","E08000025","E05001182","0","410441","0285551","1","E18000005","E19000001","E92000001","E12000005","7","E14000563","E15000005","E24000041","E30000169","E16000117","E05001182","06CNGF36","CNGF36","1","Q27","330","QD9","07CNGF","06CNGF","00CNGF","00CNGX","E00047303","00CNGF","E99999999","E01009334","E02001896","5","7A1","5MX","E00047303","E01009334","E02001896","E43000250","E33020248","E38000012","E34005001","E35001166","A1","4B2",52.467800,-1.847736,"E37000012","","E23000014",3031
"B14 5LG","B14  5LG","B14 5LG","198001","","E99999999","E08000025","E05001184","0","407657","0279089","1","E18000005","E19000001","E92000001","E12000005","7","E14000567","E15000005","E24000041","E30000169","E16000064","E05001184","06CNFF41","CNFF41","1","Q27","330","QD9","07CNFF","06CNFF","00CNFF","00CNGZ","E00045509","00CNFF","E99999999","E01008978","E02001947","5","5C2","5M1","E00045509","E01008978","E02001947","E43000250","E33020441","E38000013","E34005001","E35001166","A1","7B2",52.409752,-1.888863,"E37000012","","E23000014",38
"B16 0BX","B16  0BX","B16 0BX","198001","200212","E99999999","E08000025","E05001193","0","404408","0287568","1","E18000005","E19000001","E92000001","E12000005","7","E14000564","E15000005","E24000041","E30000169","E16000073","E05001193","06CNFS13","CNFS13","1","Q27","330","QD9","07CNFS","06CNFS","00CNFS","00CNHJ","E00046418","00CNFS","E99999999","E01009153","E02001879","5","7B1","5MX","E00046418","E01009153","E02001879","E43000250","E33020193","E38000144","E34005001","E35001166","A1","4B1",52.486014,-1.936516,"E37000012","","E23000014",2865
"B16 0RJ","B16  0RJ","B16 0RJ","199806","199812","E99999999","E08000025","E05001205","1","403858","0287201","6","E18000005","E19000001","E92000001","E12000005","7","E14000564","E15000005","E24000041","E30000169","E16000073","E05001205","06CNFS23","CNFS23","1","Q27","330","QD9","07CNFS","06CNFS","00CNFS","00CNHX","E00046421","00CNFS","E99999999","E01009152","E02001879","5","7B1","5MX","E00046421","E01009152","E02001879","E43000250","E33020194","E38000144","E34005001","E35001166","A1","4B1",52.482718,-1.944620,"E37000012","","E23000014",2060
"B16 6HG","B16  6HG","B16 6HG","200907","","E99999999","E08000025","E05001193","1","404832","0286162","1","E18000005","E19000001","E92000001","E12000005","7","E14000564","E15000005","E24000041","E30000169","E16000073","E05001193","06CNFS47","CNFS47","1","Q27","330","QD9","07CNFS","06CNFS","00CNFS","00CNHJ","E00046405","00CNFS","E99999999","E01009143","E02001885","5","7B1","5MX","E00175717","E01009143","E02006897","E43000250","E33019948","E38000012","E34005001","E35001166","A1","3A2",52.473370,-1.930292,"E37000012","","E23000014",197
"B17 0HP","B17  0HP","B17 0HP","198001","","E99999999","E08000025","E05001189","0","403936","0284650","1","E18000005","E19000001","E92000001","E12000005","7","E14000560","E15000005","E24000041","E30000169","E16000064","E05001189","06CNFM13","CNFM13","1","Q27","330","QD9","07CNFM","06CNFM","00CNFM","00CNHE","E00045971","00CNFM","E99999999","E01009069","E02001901","5","2B2","5M1","E00045971","E01009069","E02001901","E43000250","E33020269","E38000012","E34005001","E35001166","A1","5A3",52.459799,-1.943495,"E37000012","","E23000014",19462
